iri	status	name	description	code	scheme
:CM_AdmMetElective	:CM_ActiveStatus	Elective admission method	The method of admission is elective		
:CM_AdmMetEmergency	:CM_ActiveStatus	Emergency admission (admission method)	Emergency Admission, when admission is unpredictable and at short notice because of clinical need		
:CM_AdmMetGpDirect	:CM_ActiveStatus	Emergency admission direct from GP	Emergency admission via GENERAL PRACTITIONER: after a request for immediate admission has been made direct to a Hospital Provider, i.e. not through a Bed bureau, by a GENERAL PRACTITIONER or deputy - CDS type 22		
:CM_AdmMetHosTran	:CM_ActiveStatus	Emergency admission - transfer of admitted patient from another hospital	Emergency admission - Transfer of an admitted PATIENT from another Hospital Provider in an emergency - CDS type 2B		
:CM_AdmMetMatAP	:CM_ActiveStatus	Maternity admission ante partum	Maternit admission antepartum CDS type 31		
:CM_AdmMetMatPP	:CM_ActiveStatus	Maternity admission post partum	Maternity admission post partum CDS type 32		
:CM_AdmMetMaternity	:CM_ActiveStatus	Maternity Admission, of a pregnant or recently pregnant woman	Maternity Admission, of a pregnant or recently pregnant woman to a maternity WARD (including Delivery facilities) except when the intention is to terminate the pregnancy		
:CM_AdmMetMheCrisis	:CM_ActiveStatus	Emergency admission via mental health crisis resolution team	Admission via Mental Health Crisis Resolution Team CDS type 25		
:CM_AdmMetPlanned	:CM_ActiveStatus	Planned admission (admission method)	Planned admission - CDS type 13		
:CM_AdmMethWa	:CM_ActiveStatus	Waiting list (admission method)	Method of actual admission was electively from the waiting list CDS type 11		
:CM_AdmNonETransfer	:CM_ActiveStatus	Non emergency transfer from other provider	Transfer of any admitted PATIENT from other Hospital Provider other than in an emergency cds TYPE 81		
:CM_AdminCat01	:CM_ActiveStatus	NHS PATIENT/ Overseas Visitor charged under NHS	NHS PATIENT, including Overseas Visitors charged under the National Health Service (Overseas Visitors Hospital Charging Regulations) CDS 01		
:CM_AdminCat02	:CM_ActiveStatus	Private PATIENTusing accommodation/service authorised under the NHS	Private PATIENT, one who uses accommodation or SERVICES authorised under the National Health Service Act 2006 cds 02		
:CM_AdminCat03	:CM_ActiveStatus	Amenity PATIENT,use of NHS single room / small ward	Amenity PATIENT, one who pays for the use of a single room or small ward in accordance with the National Health Service Act 2006 cds 03		
:CM_AdminCat04	:CM_ActiveStatus	Category II PATIENT	Category II PATIENT, one for whom work is undertaken by hospital medical or dental staff within category II as defined in paragraph 37 of the Terms and Conditions of Service of Hospital Medical and Dental Staff 04		
:CM_AdminCategory	:CM_ActiveStatus	Patient administrative category for payment purposes	This is recorded for PATIENT ACTIVITY.\n\nA PATIENT who is an Overseas Visitor does not qualify for free NHS healthcare and can choose to pay for NHS treatment or for private treatment. If they pay for NHS treatment then they should be recorded as NHS PATIENTS.\n\nThe PATIENT's ADMINISTRATIVE CATEGORY CODE may change during an episode or spell. For example, the PATIENT may opt to change from NHS to private health care. In this case, the start and end dates for each new ADMINISTRATIVE CATEGORY PERIOD (episode or spell) should be recorded.\n\nIf the ADMINISTRATIVE CATEGORY CODE changes during a Hospital Provider Spell the ADMINISTRATIVE CATEGORY CODE (ON ADMISSION) is used to derive the 'Category of PATIENT' for Hospital Episode Statistics (HES).\n\nThe category 'amenity PATIENT' is only applicable to PATIENTS using a Hospital Bed.		
:CM_AdministrationFiling	:CM_ActiveStatus	Administration activity	An interaction involving some admin task		
:CM_AdministrativeEntry	:CM_ActiveStatus	Administrative entry	A type of encounter involving any admin entry into the records such as a filing of a report or note about the patient that defines the type of encounter entered into the health record		
:CM_Admission	:CM_ActiveStatus	Admission (care administration)	The care process of admission		
:CM_AdmissionMethod	:CM_ActiveStatus	Admission method	The method of admission to a Hospital Provider as authored by the NHS Data dictionary		
:CM_AdmissionPatientClass	:CM_ActiveStatus	Admission classification of patient	A classification of PATIENTS who have been admitted to a Hospital Provider Spell CDS 1-5		
:CM_AdmissionSource	:CM_ActiveStatus	Admission source	The source of admission to a Hospital Provider Spell or a Nursing Episode when the PATIENT is in a Hospital Site or a Care Home.		
:CM_AdultCriticalCareEncounter	:CM_ActiveStatus	Adult critical care encounter	criticl care period for an adult		
:CM_AttNotAtt00	:CM_ActiveStatus	Not applicable - appointment occurs in the future	Not applicable - APPOINTMENT occurs in the future CDS 0		
:CM_AttNotAtt2	:CM_ActiveStatus	Cancelled by, or on behalf of, the patient	APPOINTMENT cancelled by, or on behalf of, the PATIENT CDS 2		
:CM_AttNotAtt5	:CM_ActiveStatus	Attended on time or before the professional was ready to see the patient	Attended on time or, if late, before the relevant CARE PROFESSIONAL was ready to see the PATIENT CDS 5		
:CM_AttNotAtt6	:CM_ActiveStatus	Arrived late, after the professional was ready to see the patient, but was seen	Arrived late, after the relevant CARE PROFESSIONAL was ready to see the PATIENT, but was seen CDS 6		
:CM_AttNotAtt7	:CM_ActiveStatus	Arrived late and could not be seen	PATIENT arrived late and could not be seen CDS 7		
:CM_AttNotAttAtt	:CM_ActiveStatus	Attended and seen	Inidicates that an attendance took place		
:CM_AttNotAttNot	:CM_ActiveStatus	Not attended or not seen	Indicates that the patient did not attend for a number of reasons		
:CM_AttOpd1	:CM_ActiveStatus	Discharged from care - last attendance	Discharged from CONSULTANT's care (last attendance) CDS 1		
:CM_AttOpd2	:CM_ActiveStatus	Another appointment given	Another APPOINTMENT given CDS 2		
:CM_AttOpd3	:CM_ActiveStatus	Appointment to be made at a later date	APPOINTMENT to be made at a later date CDS 3		
:CM_AttOutcome0	:CM_ActiveStatus	Attendance outcome	Outcome of the attendance in outpatients		
:CM_AttnotAtt3	:CM_ActiveStatus	Did not attend  with no advance warning	Did not attend - no advance warning given CDS 3		
:CM_AttnotAtt4	:CM_ActiveStatus	Cancelled or postponed by the Health Care Provider	APPOINTMENT cancelled or postponed by the Health Care Provider CDS 4		
:CM_CancelHospEvent	:CM_ActiveStatus	Cancellation of event or encounter in hospital setting	Marks an event which cancels a preceding event such as cancelling a discharge		
:CM_CancelledEncounter	:CM_ActiveStatus	Cancellation of encounter	An event which cancels a previous encounter		
:CM_CareAdministration	:CM_ActiveStatus	Care administration	A process of care administration such as an admission discharge or administration node		
:CM_CareEventType	:CM_ActiveStatus	has care event type	Points to the overall or main nature of the entry, usually a business process or observable concept of some kind e.g. an Encounter -> type -> Telephone consultation, or observation ->type-> Chest pain		
:CM_CareSetting	:CM_ActiveStatus	Care setting	A setting in which care takes place (e.g. in an encounter)		
:CM_CcuOther91	:CM_ActiveStatus	Critical care non standard location	Non standard LOCATION using the operating department		
:CM_CcufAdult	:CM_ActiveStatus	Critical care unit adult facilities	Adult (PATIENTS more than 19 years old on admission predominate)		
:CM_CcufAdult1	:CM_ActiveStatus	Critical care general adult facility	Non-specific, general adult critical care PATIENTS  predominate CDS01		
:CM_CcufAdult10	:CM_ActiveStatus	Critical care renal adult	Renal adult PATIENTS predominate CDS 10		
:CM_CcufAdult11	:CM_ActiveStatus	Critical care liver adult	Liver adult PATIENTS predominate CDS 11		
:CM_CcufAdult2	:CM_ActiveStatus	Critical care surgical adult facility	Surgical adult PATIENTS (unspecified specialty) CDS 2		
:CM_CcufAdult3	:CM_ActiveStatus	Critical care medical adult facility	Medical adult PATIENTS (unspecified specialty) CDS 3		
:CM_CcufAdult5	:CM_ActiveStatus	Critical care neurosciences adult	Neurosciences adult PATIENTS predominate CDS 5		
:CM_CcufAdult8	:CM_ActiveStatus	Critical care burns and plastic surgery adult	Burns and plastic surgery adult PATIENTS predominate CDS 8		
:CM_CcufAdult9	:CM_ActiveStatus	Critical care spinal adult	Spinal adult PATIENTS predominate cds 9		
:CM_CcufChild	:CM_ActiveStatus	Critical care children and young people facilities	Children and Young People Facilities (PATIENTS aged greater than or equal to 29 days to less than 19 years predominate)		
:CM_CcufChild16	:CM_ActiveStatus	Critical care ward for children and young people	WARD for children and young people CDS 16		
:CM_CcufChild17	:CM_ActiveStatus	Critical care high dependency unit fo children and young people	High Dependency Unit for children and young people cds 17		
:CM_CcufChild18	:CM_ActiveStatus	Critical care renal unit for children and you people	Renal Unit for children and young people CDS 18		
:CM_CcufChild19	:CM_ActiveStatus	Critical care burns Unit for children and young people	Burns Unit for children and young people CDS 19		
:CM_CcufChild4	:CM_ActiveStatus	Critical care paediatric intensive Care Unit	Paediatric Intensive Care Unit (Paediatric critical care PATIENTS predominate) CDS 4		
:CM_CcufChild92	:CM_ActiveStatus	Critical care non standand for children and young people	Non standard LOCATION using the operating department for children and young people CDS 92		
:CM_CcufNeonate	:CM_ActiveStatus	Critical care neonatal facilities	Neonatal Facilities (Patients aged less than 29 days on admission predominate)		
:CM_CcufNeonate13	:CM_ActiveStatus	Critical care neonatal intensive care unit	Neonatal Intensive Care Unit (Neonatal critical care PATIENTS predominate) CDS 13		
:CM_CcufNeonate14	:CM_ActiveStatus	Critical care ward for neonatal transitional care	Facility for Babies on a Neonatal Transitional Care WARD CDS 14		
:CM_CcufNeonate15	:CM_ActiveStatus	Critical care for babies on maternity ward	Facility for Babies on a Maternity WARD CDS 15		
:CM_Ccufadult12	:CM_ActiveStatus	Critial care obstetric and gynaecology	Obstetric and gynaecology critical care PATIENTS predominate CDS 12		
:CM_Ccufadult6	:CM_ActiveStatus	Critical care cardiac surgical adult	Cardiac surgical adult PATIENTS predominate CDS 6		
:CM_Ccufadult7	:CM_ActiveStatus	Critical care thoracic surgical adult	Thoracic surgical adult PATIENTS predominate CDS 7		
:CM_Ccufadult90	:CM_ActiveStatus	Critical care non standard adult	Non standard LOCATION using a WARD area CDS 90		
:CM_ClinicEncounter	:CM_ActiveStatus	Clinic or health centre consultation	A consultation that occurs in primary care premises such as a nurse or GP run clinic		
:CM_Clinic_or_Health_Centre	:CM_ActiveStatus	Clinic or Health Centre	A care setting in a community clinic or health centre that is not a gp surgery		
:CM_Code	:CM_ActiveStatus	Code	A text that is normally a code created for the purposes of categorising values		
:CM_CodeScheme	:CM_ActiveStatus	Code scheme	A code scheme identifier		
:CM_Computer	:CM_ActiveStatus	Computer	A device which is a computer		
:CM_ComputerEncounter	:CM_ActiveStatus	Consultation with computer based device	A patient consulting with computer software via a device. Should not be confused with consultation with the patient via a computer.		
:CM_Consultation	:CM_ActiveStatus	Consultation	An interaction between a patient and health care professional, either directly face to face or indirectly by electronic means, not including administrative activities such as reports or admin processes such as admissions		
:CM_CoreSnapshot	:CM_ActiveStatus	Core snapshot (model document)	Core snapshot of the core language model		
:CM_CreateEntry	:CM_ActiveStatus	Create entry	Creation of a new entry		
:CM_CriticalCareAdmissionSource	:CM_ActiveStatus	Critical care admission source	The primary Organisation type that the PATIENT has been admitted from prior to the start of the CRITICAL CARE PERIOD.		
:CM_CriticalCareEncounter	:CM_ActiveStatus	Critical care encounter	A period of stay in intensive or critical care nunit		
:CM_CriticalCareSource1	:CM_ActiveStatus	Admitted from same NHS hospital site	Same NHS Hospital Site CDS1		
:CM_CriticalCareSource2	:CM_ActiveStatus	Admitted from other NHS Hospital site	Other NHS Hospital Site (same or different NHS Trust) CDS2		
:CM_CriticalCareSource3	:CM_ActiveStatus	Admitted from independent hospital provider in the UK	Independent Hospital Provider in the UK CDS 3		
:CM_CriticalCareSource4	:CM_ActiveStatus	Admitted from non hospital source in uk including home	Non-hospital source within the UK (e.g. home) CDS 4		
:CM_CriticalCareSource5	:CM_ActiveStatus	Admitted from non UK source	Non UK source such as repatriation, military personnel or foreign national CDS 5		
:CM_CriticalCareUnit	:CM_ActiveStatus	Critical care unit function	Specialised function of the Intensive care unit or some other unit considered to be critical care related in the context of the critical care encounter		
:CM_CrudOperation	:CM_ActiveStatus	CRUD operation	Create delete update or read operation on the data store		
:CM_DISC_5059	:CM_ActiveStatus	Data transformation	transformation of data in the context of data provenance		
:CM_DISC_5061	:CM_ActiveStatus	Scheduled activity	An activity that affects a scheduled activity such as scheduling a report or cancancelling a scheduled report		
:CM_DISC_5062	:CM_ActiveStatus	System operation concept	A concept that describes or affects the way a system operates		
:CM_DISC_5063	:CM_ActiveStatus	Query scheduled	A query has been scheduled to run		
:CM_DISC_5064	:CM_ActiveStatus	Query cancelled	The cancellation of a scheduled query		
:CM_DISC_5065	:CM_ActiveStatus	Query started	A query has started to run		
:CM_DISC_5066	:CM_ActiveStatus	Query Completed	A query has completed		
:CM_DISC_5067	:CM_ActiveStatus	File placed in a directory	A file is transferred or produced and placed in storage directory		
:CM_DISC_5068	:CM_ActiveStatus	File downloaded	A file is downloaded or uploaded from a source to a destination		
:CM_DISC_5081	:CM_ActiveStatus	operates within the sector of	Indicates which sector the speciality works in		
:CM_Day_case	:CM_ActiveStatus	Day case			
:CM_DefinitionalStatus	:CM_ActiveStatus	Definitional status	The definitional status of the concept e.g necessary or sufficient		
:CM_DeleteEntry	:CM_ActiveStatus	Delete entry	Deletion of a current entry		
:CM_DeltaUpdate	:CM_ActiveStatus	Core model delta update (model document)	document that is a delta to a previous version		
:CM_DidNotAttend	:CM_ActiveStatus	Did not attend	Did not attend an appointment or encounter		
:CM_DidNotAttendEncounter	:CM_ActiveStatus	Did not attend (encounter type)	An encounter that never happened as the patient did not attend		
:CM_DisDest0	:CM_ActiveStatus	Discharge destination	The destination of a PATIENT on completion of a Hospital Provider Spell, or a note that the PATIENT died or was a still birth.The type of place a patient was disharged to		
:CM_DisDest30	:CM_ActiveStatus	Repatriation from high security psychiatric NHS Hospital	Repatriation from high security psychiatric accommodation in an NHS Hospital Provider (NHS Trust or NHS Foundation Trust) CDS 30		
:CM_DisDest38	:CM_ActiveStatus	Penal establishment or police station	Penal establishment or police station CDS 38		
:CM_DisDest48	:CM_ActiveStatus	High Security Psychiatric Hospital, Scotland	High Security Psychiatric Hospital, Scotland CDS 48		
:CM_DisDest49	:CM_ActiveStatus	High security psychiatric NHS hospital	NHS other Hospital Provider - high security psychiatric accommodation CDS 49		
:CM_DisDest50	:CM_ActiveStatus	Medium secure unit in NHS Hospital	NHS other Hospital Provider - medium secure unit CDS 50		
:CM_DisDest51	:CM_ActiveStatus	Another NHS Hospital ward for general patients or the younger physically disabled	NHS other Hospital Provider - WARD for general PATIENTS or the younger physically disabled CDS 51		
:CM_DisDest79	:CM_ActiveStatus	Not applicable - patient died or still birth	Not applicable - PATIENT died or still birth CDS 79		
:CM_DisDest84	:CM_ActiveStatus	Medium secure unit in non NHS hospital	Non-NHS run hospital - medium secure unit CDS 84		
:CM_DisMethod0	:CM_ActiveStatus	Discharge method	The method of discharge from a Hospital Provider Spell		
:CM_DisMethod1	:CM_ActiveStatus	Discharged on clinical advice or with clinical consent	PATIENT discharged on clinical advice or with clinical consent CDS 1		
:CM_DisMethod2	:CM_ActiveStatus	Discharged him/herself or was discharged by a relative or advocate	PATIENT discharged him/herself or was discharged by a relative or advocate CDS 2		
:CM_DisMethod3	:CM_ActiveStatus	Discharged by mental health review tribunal Home Secretary or court	PATIENT discharged by mental health review tribunal, Home Secretary or Court CDS 3		
:CM_DisMethod4	:CM_ActiveStatus	Not applicable - patient died	PATIENT died CDS 4		
:CM_DisMethod5	:CM_ActiveStatus	StillBirth	Stillbirth CDS 5		
:CM_DisMethod6	:CM_ActiveStatus	Discharged him/herself	PATIENT discharged him/herself CDS 6		
:CM_DisMethod7	:CM_ActiveStatus	Discharged by a relative or advocate	PATIENT discharged by a relative or advocate CDS 7		
:CM_Discharge	:CM_ActiveStatus	Discharge (care administration)	The care processof discharging a patient		
:CM_DraftStatus	:CM_ActiveStatus	Draft status	The status of the concept is draft i.e. not published		
:CM_EmailConsultation	:CM_ActiveStatus	Email consultation	Consultation that took place by email		
:CM_Encounter	:CM_ActiveStatus	Encounter	A record entry about an encounter, which is an interaction between a patient (or on behalf of the patient) and a health professional or health provider. \nIt includes consultations as well as care processes such as admission, discharges. It also includes the noting of a filing of a document or report. Each encounter subclass is given a type which is then used to determine the additional properties expected in the record.\nSpecialised encounters are further defined as subclasses by additional properties commensurate with the encounter type		
:CM_EncounterDevice	:CM_ActiveStatus	Device used in encounter	A device used in an encounter setting. These are general devices used in other settings but in this context are used in encounters		
:CM_EncounterUsingDevice	:CM_ActiveStatus	Consultation using electronic device			
:CM_Encowincu	:CM_ActiveStatus	Consultation in walk-in out of hours or urgent care centre			
:CM_EndHospEvent	:CM_ActiveStatus	End of hospital event	An event indicating the ending of an encounter such as an outpatient discharge or hospital discharge		
:CM_Field	:CM_ActiveStatus	Field (care setting)	A setting for care outside care institutions and the home e.g. street or mountain		
:CM_FilingDocEncounter	:CM_ActiveStatus	Filing of document or report			
:CM_GConsultationGroup	:CM_ActiveStatus	Consultation Group	Indicating a type of grouping of patients and healthcare professionals representing a consultation e.g. patient and health professional, or team		
:CM_GPSurgeryConsultation	:CM_ActiveStatus	GP surgery consultation	A consultation that takes place in a general practice surgery or GP clinic i.e. is a GP service led consultation. This will include nurse consultations in the context of general practice		
:CM_General_Practice_surgery	:CM_ActiveStatus	General Practice surgery	A setting for the provision of care taking place within a GP surgery		
:CM_HealthEvent	:CM_ActiveStatus	Health event	A major provenanced entry in a health record. Something relating to health that has happened over a period of time, or is planned to happen at a time in the future.\nThe main differentiator between this and other events is that the state relating to the event lasts as long as the event. States that last longer, such as paient demographics, regisatrion, or problems are modelled in related entities		
:CM_Home	:CM_ActiveStatus	Home (care setting)	A care setting that is the patient's home		
:CM_HomeVisit	:CM_ActiveStatus	Home visit	Consultation in the patients home		
:CM_HospOpdEncounter	:CM_ActiveStatus	Hospital outpatient attendance	Nature of encounter as a hospital outpatient		
:CM_Hospital	:CM_ActiveStatus	Hospital setting	A setting that is part of a hospital		
:CM_HospitalAdmissionEncounter	:CM_ActiveStatus	Hospital admission			
:CM_HospitalDayCase	:CM_ActiveStatus	Hospital day case	Day case encounter		
:CM_HospitalDayCaseDischarge	:CM_ActiveStatus	Day case discharge	Discharge at the end of a daya case encounter		
:CM_HospitalDischargeEncounter	:CM_ActiveStatus	Hospital discharge			
:CM_HospitalEncounter	:CM_ActiveStatus	Hospital encounter	A sort of encounter or encounter process that takes place in hospital		
:CM_HospitalInpAdmitEncounter	:CM_ActiveStatus	Hospital inpatient admission			
:CM_HospitalInpDischEncounter	:CM_ActiveStatus	Hospital inpatient discharge	An encounter noting the dicharge of an inpatient		
:CM_HospitalInpEncounter	:CM_ActiveStatus	Hospital inpatient stay			
:CM_HospitalPreadmission	:CM_ActiveStatus	Hospital pre-admission	A note of a hospital pre admission		
:CM_Initial	:CM_ActiveStatus	Initial	coming before all others in time or order		
:CM_InitialAssessment	:CM_ActiveStatus	Initial assessment	The initial evaluation of the patient		
:CM_Inpatient	:CM_ActiveStatus	Inpatient			
:CM_MailToPatient	:CM_ActiveStatus	Mail or letter to patient	A letter or mail to a patient		
:CM_MailToPatientEncounter	:CM_ActiveStatus	Mail or letter to patient (encounter)	The noting of a mail or letter to a patient		
:CM_MaternityAdmission	:CM_ActiveStatus	Maternity admission	Maternity admission to unit		
:CM_ModelComponentStatus	:CM_ActiveStatus	Model component status	A status of this model component		
:CM_ModelDeltaUpdate	:CM_ActiveStatus	Model delta update	Delta update to an information model		
:CM_ModelDocumentInfo	:CM_ActiveStatus	Model document information	Information about model documents		
:CM_ModelDocumentPurpose	:CM_ActiveStatus	Model document purpose	Purpose of a particular model document		
:CM_ModellingConcept	:CM_ActiveStatus	Modelling concept	Concept(s) involved in maintaining the information model		
:CM_NecessaryAndSufficient	:CM_ActiveStatus	Necessary and sufficient	Concept definition is sufficient (equivalent status)		
:CM_NecessaryButInsufficient	:CM_ActiveStatus	Necessary but insufficient	Definition is subtype which is not sufficient to full define the concept		
:CM_NeonatalCriticalCareEncounter	:CM_ActiveStatus	Neonatal critical care encounter	A critical care period for a neonate		
:CM_NightVisit	:CM_ActiveStatus	Night visit	A visit to the patients home at night time		
:CM_NoteEncounter	:CM_ActiveStatus	Note entry			
:CM_NoteEntered	:CM_ActiveStatus	Note entered	Note entered into record		
:CM_ObservationType	:CM_ActiveStatus	Observation type	what the observation is of e.g an observable entity or a diagnosis		
:CM_OnPremiseEncounter	:CM_ActiveStatus	Consultation on premise	An consultation that takes place on premises		
:CM_OnPremises	:CM_ActiveStatus	Provider premises	A care setting on some health provider premises		
:CM_OnWaitingList	:CM_ActiveStatus	On the waiting list	A patient is currently on the waiting list		
:CM_OrganisationType	:CM_ActiveStatus	Type of organisation	Overall category of organisation such as an NHS organisation NHS Trust, General Practice etc		
:CM_Outpatient	:CM_ActiveStatus	Outpatient			
:CM_PaediatricCriticalCareEncounter	:CM_ActiveStatus	Paediatric critical care encounter	A critical care period for a child		
:CM_Patient_and_health_professional	:CM_ActiveStatus	Patient and health professional	A grouping consisting of a patient and a HealthData professional		
:CM_PersonCareType	:CM_ActiveStatus	Patient care classification (hospital)	The label normally applied to a type or status of  a patient such as an inpatient or outpatient		
:CM_Pre-admission	:CM_ActiveStatus	Pre-admission (care administration)	The process of pre-admitting a patient		
:CM_PreDsicharge	:CM_ActiveStatus	Pre-discharge (care administration)	Discharge of or preparation of discharge of a patient		
:CM_ProvenanceActivity	:CM_ActiveStatus	Provenance activity	The activity that took place at this point in the provenance of an entry		
:CM_ProvenanceEntity	:CM_ActiveStatus	Provenance entity	A record of the provenance of an entry in a data store		
:CM_ProvenanceSummary	:CM_ActiveStatus	Provenance Summary	The summary of origin and latest provenance for the entry		
:CM_RecordModel	:CM_ActiveStatus	Health record structure	Definitions of health record entries i.e. things that would be expected to be implemented in a health and care record schema. \nThe subclasses of this include core record classes and properties as well as extended structures often referred to as profiles or archetypes.\nSubclasses  of this do not define the meaning of the things being recorded.\nThe subclasses are used as the basis for designing conformant data models such as relational schemas. However, as the classes are part of the ontology and use the \"open world assumption\" they cannot themselves be directly used as constraints.		
:CM_RecordUpdated	:CM_ActiveStatus	Record updated	Patient record was updated		
:CM_ReferenceDocument	:CM_ActiveStatus	Reference document	An information model document that is for information purposes, not designed to update the target model directly		
:CM_ReportFiled	:CM_ActiveStatus	Report filed	Document or report filed into record		
:CM_SN_386053000	:CM_ActiveStatus	Assessment	The process of assessment		
:CM_SrcAdmA1	:CM_ActiveStatus	NHS Hospital  general ward / young disabled /A&E department	NHS other Hospital Provider - WARD for general PATIENTS or the younger physically disabled or A & E department cds ype 51		
:CM_SrcAdmA2	:CM_ActiveStatus	NHS Hospital maternity/ neonatal ward	NHS other Hospital Provider - WARD for maternity PATIENTS or Neonates CDS type 51		
:CM_SrcAdmA3	:CM_ActiveStatus	Another NHS hospital ward for mental health or learning difficulties	NHS other Hospital Provider - WARD for PATIENTS who are mentally ill or have Learning Disabilities CDS type 53		
:CM_SrcAdmA4	:CM_ActiveStatus	NHS care home	NHS run Care Home CDS type 54		
