class	property	range	min	max	property_owner	Inverse
rm:HospitalOpdEntry	rm:hasAttendanceOutcome	cm:AttOutcome0	1	1	0	rm:HospitalOpdEntry	
rm:HospitalOpdEntry	rm:hasType	cm:HospOpdEncounter	1	1	0	rm:HospitalOpdEntry	
rm:HospitalOpdEntry	rm:treatmentSpecialty	sn:SN_224930009	1	1	0	rm:HospitalOpdEntry	
rm:HospitalOpdEntry	rm:isSubcomponentOf	rm:EncounterEntry		1	1	rm:EncounterEntry	
rm:HospitalOpdEntry	rm:hasSubcomponent	rm:EncounterEntry			1	rm:EncounterEntry	1
rm:HospitalOpdEntry	rm:hasSubject	rm:Patient	1	1	2	rm:HealthEvent	
rm:HospitalOpdEntry	rm:hasDataController	rm:Organisation	1	1	3	rm:RecordEntry	
rm:ObservationEntry	rm:hasType	cm:ObservationType	1	1	0	rm:ObservationEntry	
rm:ObservationEntry	rm:isSubcomponentOf	rm:ObservationEntry		1	0	rm:ObservationEntry	
rm:ObservationEntry	rm:isUnderHeadingOf	rm:RecordSection		1	0	rm:ObservationEntry	
rm:ObservationEntry	rm:partOfEncounter	rm:EncounterEntry		1	0	rm:ObservationEntry	
rm:ObservationEntry	rm:hasSubcomponent	rm:ObservationEntry			0	rm:ObservationEntry	1
rm:ObservationEntry	rm:hasSubject	rm:Patient	1	1	1	rm:HealthEvent	
rm:ObservationEntry	rm:hasDataController	rm:Organisation	1	1	2	rm:RecordEntry	
rm:Organisation	cm:isDataControllerOf	rm:Patient			0	rm:Organisation	1
rm:Organisation	cm:isDataControllerOf	rm:RecordEntry			0	rm:Organisation	1
rm:Patient	rm:hasDataController	rm:Organisation	1	1	0	rm:Patient	
rm:Patient	rm:isSubjectOf	rm:HealthEvent			0	rm:Patient	1
rm:RecordEntry	rm:hasDataController	rm:Organisation	1	1	0	rm:RecordEntry	
